year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa
2015,박해민,삼성,0.293,144,608,525,96,154,22,7,0,190,47,23,2,56,1,2,126,8,0.362,0.362,0.724,40,0.294,29,160,87,1.84,6,0.44,3.9,0.069,77.8
2015,황재균,롯데,0.29,144,596,534,95,155,41,2,26,278,97,4,6,48,1,4,122,14,0.521,0.35,0.871,43,0.242,69,109,154,0.71,7,0.39,3.71,0.23,90.5
2015,김하성,넥센,0.29,140,582,511,89,148,35,5,19,250,73,4,6,56,2,5,115,10,0.489,0.362,0.851,42,0.26,59,111,143,0.78,4,0.49,4.23,0.2,90.6
2015,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9,93,8,6,72,10,0.596,0.393,0.989,41,0.271,68,137,181,0.76,11,1.29,4.21,0.309,126.1
2015,박경수,KT,0.284,137,537,440,75,125,30,1,22,223,73,6,4,74,1,13,115,8,0.507,0.399,0.906,38,0.288,53,99,105,0.94,7,0.64,4.28,0.223,89.1
2015,장성우,KT,0.284,133,491,433,55,123,20,1,13,184,77,3,9,46,1,0,85,12,0.425,0.346,0.771,31,0.286,34,123,111,1.11,10,0.54,4.0,0.141,64.2
2015,이재원,SK,0.282,140,559,489,58,138,18,1,17,209,100,0,5,54,5,11,85,22,0.427,0.363,0.79,37,0.319,36,115,156,0.74,11,0.64,3.66,0.145,71.8
2015,박정권,SK,0.281,124,494,438,66,123,23,0,21,209,70,4,2,46,1,4,119,9,0.477,0.353,0.83,33,0.261,44,96,102,0.94,5,0.39,4.02,0.196,71.1
2015,스나이더,넥센,0.281,113,487,431,88,121,26,1,26,227,71,3,5,37,0,11,135,2,0.527,0.349,0.876,37,0.21,53,65,115,0.57,4,0.27,4.17,0.246,79.9
2015,김상현,KT,0.28,134,539,475,71,133,20,0,27,234,88,0,6,50,4,8,115,21,0.493,0.354,0.847,37,0.25,47,140,93,1.51,3,0.43,4.02,0.213,77.5
2015,오재원,두산,0.28,120,474,411,60,115,20,2,11,172,59,7,4,47,1,4,94,9,0.418,0.356,0.774,27,0.293,33,108,98,1.1,6,0.5,4.15,0.139,64.6
2015,김상수,삼성,0.278,132,518,449,67,125,30,4,8,187,63,13,7,43,0,6,56,9,0.416,0.345,0.761,35,0.287,42,126,149,0.85,5,0.77,3.71,0.138,68.7
2015,오지환,LG,0.278,138,566,497,76,138,41,4,11,220,56,3,3,59,1,4,121,2,0.443,0.357,0.8,39,0.264,56,117,124,0.94,9,0.49,4.29,0.165,80.4
2015,이범호,KIA,0.27,138,514,437,60,118,25,0,28,227,79,0,4,57,1,16,91,16,0.519,0.372,0.891,29,0.245,53,99,133,0.74,7,0.63,4.02,0.249,80.9
2015,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3,54,6,3,78,5,0.368,0.35,0.718,29,0.256,32,119,128,0.93,6,0.69,3.99,0.1,60.7
2015,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3,23,0,16,85,9,0.383,0.328,0.711,26,0.24,26,125,97,1.29,5,0.27,3.73,0.116,52.9
2015,브라운,SK,0.261,137,539,464,82,121,21,2,28,230,76,0,2,66,4,7,127,12,0.496,0.36,0.856,31,0.232,51,116,102,1.14,9,0.52,3.98,0.235,81.7
2015,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7,25,0,10,77,12,0.354,0.307,0.661,26,0.238,30,125,119,1.05,5,0.32,3.66,0.1,45.9
2015,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5,36,0,14,66,16,0.398,0.319,0.717,25,0.261,39,142,129,1.1,8,0.55,3.62,0.152,55.5
