연도,선수이름,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,팀아이디,선수아이디,팀승률,팀순위
2019,김상수,8,0.271,129,543,468,76,127,20,2,5,166,38,6,4,50,1,15,67,14,0.355,0.358,0.713,36,0.228,27,145,133,1.09,4,0.75,3.95,0.083,63.8,t1908,227,0.42,8
2019,구자욱,8,0.267,122,526,475,66,127,27,6,15,211,71,0,6,38,2,7,88,5,0.444,0.327,0.7709999999999999,32,0.302,48,110,156,0.71,9,0.43,3.65,0.177,71.3,t1908,233,0.42,8
2019,이원석,8,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,24,0.304,39,87,145,0.6,4,0.59,4.0,0.195,59.7,t1908,243,0.42,8
2019,박해민,8,0.239,144,581,506,64,121,16,7,5,166,44,12,3,58,0,2,82,4,0.328,0.318,0.6459999999999999,34,0.239,28,152,154,0.99,2,0.71,4.1,0.08900000000000001,59.8,t1908,244,0.42,8
2019,유강남,4,0.27,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,38,115,114,1.01,8,0.37,3.86,0.16699999999999998,56.8,t1904,203,0.552,4
2019,오지환,4,0.252,134,547,473,63,119,23,5,9,179,53,7,3,57,1,7,113,7,0.378,0.339,0.7170000000000001,32,0.256,37,122,122,1.0,8,0.5,4.11,0.127,66.7,t1904,215,0.552,4
2019,유강남,4,0.27,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,38,115,114,1.01,8,0.37,3.86,0.16699999999999998,56.8,t1904,228,0.552,4
2019,오지환,4,0.252,134,547,473,63,119,23,5,9,179,53,7,3,57,1,7,113,7,0.378,0.339,0.7170000000000001,32,0.256,37,122,122,1.0,8,0.5,4.11,0.127,66.7,t1904,240,0.552,4
2019,이창진,5,0.27,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,27,0.267,32,82,123,0.67,4,0.62,3.93,0.113,57.3,t1905,205,0.4370000000000001,7
2019,박찬호,5,0.26,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.3,0.617,36,0.308,21,173,119,1.45,4,0.31,3.88,0.058,51.9,t1905,213,0.4370000000000001,7
2019,이창진,5,0.27,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,27,0.267,32,82,123,0.67,4,0.62,3.93,0.113,57.3,t1905,230,0.4370000000000001,7
2019,박찬호,5,0.26,133,541,504,60,131,15,4,2,160,49,5,2,26,0,4,83,8,0.317,0.3,0.617,36,0.308,21,173,119,1.45,4,0.31,3.88,0.058,51.9,t1905,238,0.4370000000000001,7
2019,송광민,10,0.264,122,486,454,50,120,21,0,7,162,51,3,5,21,0,3,91,18,0.35700000000000004,0.298,0.655,35,0.261,28,128,120,1.07,2,0.23,3.39,0.093,44.7,t1910,211,0.403,9
2019,정은원,10,0.262,142,624,564,83,148,27,6,8,211,57,6,6,48,0,0,101,6,0.374,0.317,0.691,44,0.241,41,175,146,1.2,2,0.48,3.99,0.112,69.3,t1910,212,0.403,9
2019,이성열,10,0.256,129,476,414,60,106,21,1,21,192,85,1,4,48,1,9,114,7,0.464,0.343,0.807,25,0.314,43,110,88,1.25,12,0.42,3.81,0.208,67.6,t1910,214,0.403,9
2019,오선진,10,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.28800000000000003,0.307,0.595,22,0.263,19,111,124,0.9,5,0.53,3.92,0.064,37.9,t1910,220,0.403,9
2019,송광민,10,0.264,122,486,454,50,120,21,0,7,162,51,3,5,21,0,3,91,18,0.35700000000000004,0.298,0.655,35,0.261,28,128,120,1.07,2,0.23,3.39,0.093,44.7,t1910,236,0.403,9
2019,정은원,10,0.262,142,624,564,83,148,27,6,8,211,57,6,6,48,0,0,101,6,0.374,0.317,0.691,44,0.241,41,175,146,1.2,2,0.48,3.99,0.112,69.3,t1910,237,0.403,9
2019,이성열,10,0.256,129,476,414,60,106,21,1,21,192,85,1,4,48,1,9,114,7,0.464,0.343,0.807,25,0.314,43,110,88,1.25,12,0.42,3.81,0.208,67.6,t1910,239,0.403,9
2019,오선진,10,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.28800000000000003,0.307,0.595,22,0.263,19,111,124,0.9,5,0.53,3.92,0.064,37.9,t1910,245,0.403,9
